rank,name,url,content_richness_score,article_length,section_count,infobox_field_count,image_count,reference_count,limited_content
35,Donald Klein,https://en.wikipedia.org/wiki/Donald_Klein,9.55,165,1,0,0,0,true
36,Rubria,https://en.wikipedia.org/wiki/Rubria,9.55,166,1,0,0,0,true
37,Thein Han,https://en.wikipedia.org/wiki/Thein_Han,9.55,165,1,0,0,0,true
38,Newport Council,https://en.wikipedia.org/wiki/Newport_Council,9.56,167,1,0,0,0,true
39,"Belmont, WA","https://en.wikipedia.org/wiki/Belmont,_WA",9.56,167,1,0,0,0,true
40,Belfast Confetti,https://en.wikipedia.org/wiki/Belfast_Confetti,9.56,167,1,0,0,0,true
41,Van Syckel,https://en.wikipedia.org/wiki/Van_Syckel,9.56,167,1,0,0,0,true
42,Good Brothers,https://en.wikipedia.org/wiki/Good_Brothers,9.57,169,1,0,0,0,true
43,Dot Island,https://en.wikipedia.org/wiki/Dot_Island,9.58,170,1,0,0,0,true
44,Semir,https://en.wikipedia.org/wiki/Semir,9.58,170,1,0,0,0,true
45,Kleinpeter,https://en.wikipedia.org/wiki/Kleinpeter,9.59,171,1,0,0,0,true
46,Piar Municipality,https://en.wikipedia.org/wiki/Piar_Municipality,9.59,171,1,0,0,0,true
47,Pavel Mráz,https://en.wikipedia.org/wiki/Pavel_Mr%C3%A1z,9.59,171,1,0,0,0,true
48,Lawson Heights,https://en.wikipedia.org/wiki/Lawson_Heights,9.6,174,1,0,0,0,true
49,William Holms,https://en.wikipedia.org/wiki/William_Holms,9.61,175,1,0,0,0,true
50,Battle of Nowa Wieś,https://en.wikipedia.org/wiki/Battle_of_Nowa_Wie%C5%9B,9.61,176,1,0,0,0,true
51,Iron Dawn,https://en.wikipedia.org/wiki/Iron_Dawn,9.61,175,1,0,0,0,true
52,Taloa,https://en.wikipedia.org/wiki/Taloa,9.61,175,1,0,0,0,true
53,Pensacola Barracudas,https://en.wikipedia.org/wiki/Pensacola_Barracudas,9.62,178,1,0,0,0,true
54,Germanville,https://en.wikipedia.org/wiki/Germanville,9.63,182,1,0,0,0,true
55,Mników,https://en.wikipedia.org/wiki/Mnik%C3%B3w,9.63,183,1,0,0,0,true
56,Stoke Hall,https://en.wikipedia.org/wiki/Stoke_Hall,9.63,182,1,0,0,0,true
57,Clydebank and Milngavie,https://en.wikipedia.org/wiki/Clydebank_and_Milngavie,9.63,182,1,0,0,0,true
58,Senator Harsbrouck,https://en.wikipedia.org/wiki/Senator_Harsbrouck,9.64,184,1,0,0,0,true
59,Polyprenylpyrophosphate synthetase,https://en.wikipedia.org/wiki/Polyprenylpyrophosphate_synthetase,9.64,186,1,0,0,0,true
60,NuTech,https://en.wikipedia.org/wiki/NuTech,9.64,186,1,0,0,0,true
61,Khoe,https://en.wikipedia.org/wiki/Khoe,9.65,187,1,0,0,0,true
62,Mutawintji,https://en.wikipedia.org/wiki/Mutawintji,9.65,188,1,0,0,0,true
63,Hashcheh,https://en.wikipedia.org/wiki/Hashcheh,9.66,189,1,0,0,0,true
64,Bogaraš,https://en.wikipedia.org/wiki/Bogara%C5%A1,9.66,190,1,0,0,0,true
65,Kalahu,https://en.wikipedia.org/wiki/Kalahu,9.67,193,1,0,0,0,true
66,George Longstaff,https://en.wikipedia.org/wiki/George_Longstaff,9.67,192,1,0,0,0,true
67,"Mount Tabor, Pennsylvania","https://en.wikipedia.org/wiki/Mount_Tabor,_Pennsylvania",9.68,196,1,0,0,0,true
68,Andrea Caroppo,https://en.wikipedia.org/wiki/Andrea_Caroppo,9.68,194,1,0,0,0,true
69,Guo Meimei,https://en.wikipedia.org/wiki/Guo_Meimei,9.68,194,1,0,0,0,true
70,Judith Stein,https://en.wikipedia.org/wiki/Judith_Stein,9.69,199,1,0,0,0,true
71,Hellstone,https://en.wikipedia.org/wiki/Hellstone,9.69,199,1,0,0,0,true
72,Legal dualism,https://en.wikipedia.org/wiki/Legal_dualism,9.7,200,1,0,0,0,true
73,Colnic River,https://en.wikipedia.org/wiki/Colnic_River,9.7,200,1,0,0,0,true
74,Misato Station,https://en.wikipedia.org/wiki/Misato_Station,9.71,202,1,0,0,0,true
75,Ledley,https://en.wikipedia.org/wiki/Ledley,9.71,202,1,0,0,0,true
76,Vicetia,https://en.wikipedia.org/wiki/Vicetia,9.71,203,1,0,0,0,true
77,Violin Concerto in G major,https://en.wikipedia.org/wiki/Violin_Concerto_in_G_major,9.72,204,1,0,0,0,true
78,United States invasion of Venezuela,https://en.wikipedia.org/wiki/United_States_invasion_of_Venezuela,9.72,205,1,0,0,0,true
79,3rd Street Tunnel,https://en.wikipedia.org/wiki/3rd_Street_Tunnel,9.73,207,1,0,0,0,true
80,Varangu,https://en.wikipedia.org/wiki/Varangu,9.73,206,1,0,0,0,true
81,Hagieni,https://en.wikipedia.org/wiki/Hagieni,9.73,206,1,0,0,0,true
82,William Cate,https://en.wikipedia.org/wiki/William_Cate,9.74,209,1,0,0,0,true
83,Eye tattoo,https://en.wikipedia.org/wiki/Eye_tattoo,9.74,210,1,0,0,0,true
84,2008 Red Wings season,https://en.wikipedia.org/wiki/2008_Red_Wings_season,9.74,210,1,0,0,0,true
85,Speckle-faced parrot,https://en.wikipedia.org/wiki/Speckle-faced_parrot,9.75,212,1,0,0,0,true
86,"Hitt, Illinois","https://en.wikipedia.org/wiki/Hitt,_Illinois",9.75,212,1,0,0,0,true
87,WBZ,https://en.wikipedia.org/wiki/WBZ,9.76,213,1,0,0,0,true
88,Edward Parnell,https://en.wikipedia.org/wiki/Edward_Parnell,9.76,215,1,0,0,0,true
89,Edwin Gill,https://en.wikipedia.org/wiki/Edwin_Gill,9.76,215,1,0,0,0,true
90,Granari,https://en.wikipedia.org/wiki/Granari,9.77,216,1,0,0,0,true
91,ISTE,https://en.wikipedia.org/wiki/ISTE,9.77,216,1,0,0,0,true
92,Fred Glover,https://en.wikipedia.org/wiki/Fred_Glover,9.77,216,1,0,0,0,true
93,Patrick Gillespie,https://en.wikipedia.org/wiki/Patrick_Gillespie,9.78,217,1,0,0,0,true
94,Bergues-Saint-Winoc,https://en.wikipedia.org/wiki/Bergues-Saint-Winoc,9.79,219,1,0,0,0,true
95,Terry Cahill,https://en.wikipedia.org/wiki/Terry_Cahill,9.79,219,1,0,0,0,true
96,Black darter,https://en.wikipedia.org/wiki/Black_darter,9.79,219,1,0,0,0,true
97,IBM 1015,https://en.wikipedia.org/wiki/IBM_1015,9.8,221,1,0,0,0,true
98,2022 Hungarian election,https://en.wikipedia.org/wiki/2022_Hungarian_election,9.8,220,1,0,0,0,true
99,Murad Khan,https://en.wikipedia.org/wiki/Murad_Khan,9.81,225,1,0,0,0,true
100,Shawhan,https://en.wikipedia.org/wiki/Shawhan,9.81,222,1,0,0,0,true
101,Bryan MacMahon,https://en.wikipedia.org/wiki/Bryan_MacMahon,9.81,223,1,0,0,0,true
102,Drabble (disambiguation),https://en.wikipedia.org/wiki/Drabble_(disambiguation),9.82,227,1,0,0,0,true
103,Farnborough plane crash,https://en.wikipedia.org/wiki/Farnborough_plane_crash,9.82,228,1,0,0,0,true
104,Meili Xin Shijie,https://en.wikipedia.org/wiki/Meili_Xin_Shijie,9.83,232,1,0,0,0,true
105,Karl Brunner,https://en.wikipedia.org/wiki/Karl_Brunner,9.83,232,1,0,0,0,true
106,Uns're Heimat,https://en.wikipedia.org/wiki/Uns%27re_Heimat,9.84,236,1,0,0,0,true
107,Rajpuri,https://en.wikipedia.org/wiki/Rajpuri,9.84,233,1,0,0,0,true
108,Maszków,https://en.wikipedia.org/wiki/Maszk%C3%B3w,9.84,233,1,0,0,0,true
109,Etienne Oosthuizen,https://en.wikipedia.org/wiki/Etienne_Oosthuizen,9.85,237,1,0,0,0,true
110,Christopher Tancred,https://en.wikipedia.org/wiki/Christopher_Tancred,9.85,239,1,0,0,0,true
111,8PB,https://en.wikipedia.org/wiki/8PB,9.85,238,1,0,0,0,true
112,Stafford rail crash,https://en.wikipedia.org/wiki/Stafford_rail_crash,9.86,241,1,0,0,0,true
113,Marszałki,https://en.wikipedia.org/wiki/Marsza%C5%82ki,9.86,241,1,0,0,0,true
114,Saw Omma (disambiguation),https://en.wikipedia.org/wiki/Saw_Omma_(disambiguation),9.86,241,1,0,0,0,true
115,Maxin,https://en.wikipedia.org/wiki/Maxin,9.86,241,1,0,0,0,true
116,Chrzanowice,https://en.wikipedia.org/wiki/Chrzanowice,9.87,242,1,0,0,0,true
117,Tim Kelleher,https://en.wikipedia.org/wiki/Tim_Kelleher,9.88,244,1,0,0,0,true
118,Karos,https://en.wikipedia.org/wiki/Karos,9.88,243,1,0,0,0,true
119,Mathematical formalism,https://en.wikipedia.org/wiki/Mathematical_formalism,9.89,245,1,0,0,0,true
120,Frank Vandenbroucke,https://en.wikipedia.org/wiki/Frank_Vandenbroucke,9.89,245,1,0,0,0,true
121,Robert Wilhelm,https://en.wikipedia.org/wiki/Robert_Wilhelm,9.9,250,1,0,0,0,true
122,R. Lanier Anderson,https://en.wikipedia.org/wiki/R._Lanier_Anderson,9.9,246,1,0,0,0,true
123,Sicklebill,https://en.wikipedia.org/wiki/Sicklebill,9.91,251,1,0,0,0,true
124,ERIH,https://en.wikipedia.org/wiki/ERIH,9.91,251,1,0,0,0,true
125,Ministry of Investment,https://en.wikipedia.org/wiki/Ministry_of_Investment,9.91,251,1,0,0,0,true
126,Ford 351,https://en.wikipedia.org/wiki/Ford_351,9.92,253,1,0,0,0,true
127,Expm,https://en.wikipedia.org/wiki/Expm,9.93,255,1,0,0,0,true
128,BWY,https://en.wikipedia.org/wiki/BWY,9.93,257,1,0,0,0,true
129,Loipersdorf,https://en.wikipedia.org/wiki/Loipersdorf,9.93,256,1,0,0,0,true
130,Damerow (surname),https://en.wikipedia.org/wiki/Damerow_(surname),9.94,258,1,0,0,0,true
131,Sumpak,https://en.wikipedia.org/wiki/Sumpak,9.94,258,1,0,0,0,true
132,IFSA,https://en.wikipedia.org/wiki/IFSA,9.95,261,1,0,0,0,true
133,Raisa,https://en.wikipedia.org/wiki/Raisa,9.95,260,1,0,0,0,true
134,Aleksandr Laktionov,https://en.wikipedia.org/wiki/Aleksandr_Laktionov,9.95,260,1,0,0,0,true
135,Soze (surname),https://en.wikipedia.org/wiki/Soze_(surname),9.96,265,1,0,0,0,true
136,EHV,https://en.wikipedia.org/wiki/EHV,9.97,269,1,0,0,0,true
137,Quinan,https://en.wikipedia.org/wiki/Quinan,9.97,268,1,0,0,0,true
138,Kalven (surname),https://en.wikipedia.org/wiki/Kalven_(surname),9.97,266,1,0,0,0,true
139,Bromma socken,https://en.wikipedia.org/wiki/Bromma_socken,9.98,271,1,0,0,0,true
140,Holum (surname),https://en.wikipedia.org/wiki/Holum_(surname),9.99,274,1,0,0,0,true
141,Godziszów,https://en.wikipedia.org/wiki/Godzisz%C3%B3w,9.99,274,1,0,0,0,true
142,Adam Ostrowski,https://en.wikipedia.org/wiki/Adam_Ostrowski,9.99,274,1,0,0,0,true
143,Ixia (disambiguation),https://en.wikipedia.org/wiki/Ixia_(disambiguation),10.0,275,1,0,0,0,true
144,La Butte,https://en.wikipedia.org/wiki/La_Butte,10.0,275,1,0,0,0,true
145,Nisshin Station,https://en.wikipedia.org/wiki/Nisshin_Station,10.0,277,1,0,0,0,true
146,Afra Koti,https://en.wikipedia.org/wiki/Afra_Koti,10.0,277,1,0,0,0,true
147,Escherich,https://en.wikipedia.org/wiki/Escherich,10.01,279,1,0,0,0,true
148,Verchere,https://en.wikipedia.org/wiki/Verchere,10.01,279,1,0,0,0,true
149,Tuscola Township,https://en.wikipedia.org/wiki/Tuscola_Township,10.02,281,1,0,0,0,true
150,Cheikhou,https://en.wikipedia.org/wiki/Cheikhou,10.02,282,1,0,0,0,true
151,12N,https://en.wikipedia.org/wiki/12N,10.03,283,1,0,0,0,true
152,Sipahiler,https://en.wikipedia.org/wiki/Sipahiler,10.04,284,1,0,0,0,true
153,Engst,https://en.wikipedia.org/wiki/Engst,10.04,284,1,0,0,0,true
154,Laplante,https://en.wikipedia.org/wiki/Laplante,10.04,284,1,0,0,0,true
155,Frogger 2,https://en.wikipedia.org/wiki/Frogger_2,10.04,284,1,0,0,0,true
156,Ruttkay,https://en.wikipedia.org/wiki/Ruttkay,10.05,286,1,0,0,0,true
157,Louis Mayer,https://en.wikipedia.org/wiki/Louis_Mayer,10.05,285,1,0,0,0,true
158,Mojsisovics,https://en.wikipedia.org/wiki/Mojsisovics,10.05,285,1,0,0,0,true
159,Black Scots,https://en.wikipedia.org/wiki/Black_Scots,10.06,287,1,0,0,0,true
160,Świerże,https://en.wikipedia.org/wiki/%C5%9Awier%C5%BCe,10.06,287,1,0,0,0,true
161,Solomon I,https://en.wikipedia.org/wiki/Solomon_I,10.07,288,1,0,0,0,true
162,Leonard Schultze,https://en.wikipedia.org/wiki/Leonard_Schultze,10.07,291,1,0,0,0,true
163,Bacuna,https://en.wikipedia.org/wiki/Bacuna,10.07,290,1,0,0,0,true
164,2016 NCAA football bowl games,https://en.wikipedia.org/wiki/2016_NCAA_football_bowl_games,10.08,292,1,0,0,0,true
165,Newport Cup,https://en.wikipedia.org/wiki/Newport_Cup,10.08,294,1,0,0,0,true
166,Jean Alexandre,https://en.wikipedia.org/wiki/Jean_Alexandre,10.08,294,1,0,0,0,true
167,Rhythm Rocker,https://en.wikipedia.org/wiki/Rhythm_Rocker,10.1,296,1,0,0,0,true
168,Cecil Newton (disambiguation),https://en.wikipedia.org/wiki/Cecil_Newton_(disambiguation),10.1,296,1,0,0,0,true
169,Megarry,https://en.wikipedia.org/wiki/Megarry,10.1,296,1,0,0,0,true
170,Salair,https://en.wikipedia.org/wiki/Salair,10.1,296,1,0,0,0,true
171,Tatsumi Parking Area,https://en.wikipedia.org/wiki/Tatsumi_Parking_Area,10.11,297,1,0,0,0,true
172,Galdieri,https://en.wikipedia.org/wiki/Galdieri,10.12,299,1,0,0,0,true
173,Fatoumata Diarra,https://en.wikipedia.org/wiki/Fatoumata_Diarra,10.12,298,1,0,0,0,true
174,On the Double,https://en.wikipedia.org/wiki/On_the_Double,10.12,298,1,0,0,0,true
175,Ideation,https://en.wikipedia.org/wiki/Ideation,10.13,300,1,0,0,0,true
176,Gieve,https://en.wikipedia.org/wiki/Gieve,10.13,300,1,0,0,0,true
177,John Byrnes,https://en.wikipedia.org/wiki/John_Byrnes,10.14,301,1,0,0,0,true
178,Portillo,https://en.wikipedia.org/wiki/Portillo,10.14,301,1,0,0,0,true
179,George Crichton,https://en.wikipedia.org/wiki/George_Crichton,10.14,301,1,0,0,0,true
180,Skjælaaen,https://en.wikipedia.org/wiki/Skj%C3%A6laaen,10.15,305,1,0,0,0,true
181,Stefu,https://en.wikipedia.org/wiki/Stefu,10.15,302,1,0,0,0,true
182,Abonyi,https://en.wikipedia.org/wiki/Abonyi,10.15,303,1,0,0,0,true
183,Central African Championships,https://en.wikipedia.org/wiki/Central_African_Championships,10.16,306,1,0,0,0,true
184,Plšek,https://en.wikipedia.org/wiki/Pl%C5%A1ek,10.16,306,1,0,0,0,true
185,Juuti,https://en.wikipedia.org/wiki/Juuti,10.17,308,1,0,0,0,true
186,Old Eighteen,https://en.wikipedia.org/wiki/Old_Eighteen,10.17,308,1,0,0,0,true
187,Ramapura,https://en.wikipedia.org/wiki/Ramapura,10.17,307,1,0,0,0,true
188,Patricia Lee,https://en.wikipedia.org/wiki/Patricia_Lee,10.18,309,1,0,0,0,true
189,Trenewith,https://en.wikipedia.org/wiki/Trenewith,10.18,309,1,0,0,0,true
190,Michael Augustine,https://en.wikipedia.org/wiki/Michael_Augustine,10.19,313,1,0,0,0,true
191,Lammy,https://en.wikipedia.org/wiki/Lammy,10.19,311,1,0,0,0,true
192,Diamond Jubilee National Service of Thanksgiving,https://en.wikipedia.org/wiki/Diamond_Jubilee_National_Service_of_Thanksgiving,10.2,314,1,0,0,0,true
193,Burrstone,https://en.wikipedia.org/wiki/Burrstone,10.2,314,1,0,0,0,true
194,Bush hen,https://en.wikipedia.org/wiki/Bush_hen,10.21,315,1,0,0,0,true
195,Garbey,https://en.wikipedia.org/wiki/Garbey,10.21,315,1,0,0,0,true
196,Putin's Dacha,https://en.wikipedia.org/wiki/Putin%27s_Dacha,10.21,315,1,0,0,0,true
197,Rangan,https://en.wikipedia.org/wiki/Rangan,10.21,315,1,0,0,0,true
198,Kuczków,https://en.wikipedia.org/wiki/Kuczk%C3%B3w,10.22,316,1,0,0,0,true
199,No pun intended,https://en.wikipedia.org/wiki/No_pun_intended,10.23,318,1,0,0,0,true
200,Jonathan Forbes (disambiguation),https://en.wikipedia.org/wiki/Jonathan_Forbes_(disambiguation),10.23,318,1,0,0,0,true
201,Palaniswamy,https://en.wikipedia.org/wiki/Palaniswamy,10.23,317,1,0,0,0,true
202,Charles Coghlan,https://en.wikipedia.org/wiki/Charles_Coghlan,10.23,318,1,0,0,0,true
203,Leslie Lam,https://en.wikipedia.org/wiki/Leslie_Lam,10.24,319,1,0,0,0,true
204,Guinevere O.U. Wogan,https://en.wikipedia.org/wiki/Guinevere_O.U._Wogan,10.25,320,1,0,0,0,true
205,Southern Man,https://en.wikipedia.org/wiki/Southern_Man,10.25,320,1,0,0,0,true
206,Longgui,https://en.wikipedia.org/wiki/Longgui,10.26,321,1,0,0,0,true
207,The Aviary,https://en.wikipedia.org/wiki/The_Aviary,10.26,321,1,0,0,0,true
208,The Best of John Denver,https://en.wikipedia.org/wiki/The_Best_of_John_Denver,10.26,322,1,0,0,0,true
209,Theatres Act,https://en.wikipedia.org/wiki/Theatres_Act,10.27,323,1,0,0,0,true
210,Marco Bianco,https://en.wikipedia.org/wiki/Marco_Bianco,10.27,323,1,0,0,0,true
211,Dobrinje,https://en.wikipedia.org/wiki/Dobrinje,10.27,323,1,0,0,0,true
212,Clan Wars,https://en.wikipedia.org/wiki/Clan_Wars,10.28,324,1,0,0,0,true
213,Battle of Kernstown,https://en.wikipedia.org/wiki/Battle_of_Kernstown,10.29,325,1,0,0,0,true
214,Kraatz,https://en.wikipedia.org/wiki/Kraatz,10.29,325,1,0,0,0,true
215,Wian (given name),https://en.wikipedia.org/wiki/Wian_(given_name),10.29,325,1,0,0,0,true
216,Feeble,https://en.wikipedia.org/wiki/Feeble,10.29,325,1,0,0,0,true
217,Tsingtao (disambiguation),https://en.wikipedia.org/wiki/Tsingtao_(disambiguation),10.3,326,1,0,0,0,true
218,Gajdusek,https://en.wikipedia.org/wiki/Gajdusek,10.3,326,1,0,0,0,true
219,Teape,https://en.wikipedia.org/wiki/Teape,10.31,327,1,0,0,0,true
220,Corte Madera,https://en.wikipedia.org/wiki/Corte_Madera,10.31,327,1,0,0,0,true
221,Black-backed gull,https://en.wikipedia.org/wiki/Black-backed_gull,10.32,329,1,0,0,0,true
222,Knap,https://en.wikipedia.org/wiki/Knap,10.32,329,1,0,0,0,true
223,Gotthard Tunnel (disambiguation),https://en.wikipedia.org/wiki/Gotthard_Tunnel_(disambiguation),10.33,331,1,0,0,0,true
224,Richard Archer (disambiguation),https://en.wikipedia.org/wiki/Richard_Archer_(disambiguation),10.33,332,1,0,0,0,true
225,Port-au-Prince school collapse,https://en.wikipedia.org/wiki/Port-au-Prince_school_collapse,10.33,330,1,0,0,0,true
226,Monkey Fist,https://en.wikipedia.org/wiki/Monkey_Fist,10.34,334,1,0,0,0,true
227,DEBS,https://en.wikipedia.org/wiki/DEBS,10.34,334,1,0,0,0,true
228,N. albipes,https://en.wikipedia.org/wiki/N._albipes,10.35,335,1,0,0,0,true
229,Indonesian proverbs,https://en.wikipedia.org/wiki/Indonesian_proverbs,10.35,335,1,0,0,0,true
230,Stephen Stirling,https://en.wikipedia.org/wiki/Stephen_Stirling,10.35,335,1,0,0,0,true
231,Anthony Wong (disambiguation),https://en.wikipedia.org/wiki/Anthony_Wong_(disambiguation),10.35,335,1,0,0,0,true
232,Hohlfeld,https://en.wikipedia.org/wiki/Hohlfeld,10.36,336,1,0,0,0,true
233,Raux,https://en.wikipedia.org/wiki/Raux,10.37,337,1,0,0,0,true
234,Amagasaki Station,https://en.wikipedia.org/wiki/Amagasaki_Station,10.37,339,1,0,0,0,true
235,Carnoustie (disambiguation),https://en.wikipedia.org/wiki/Carnoustie_(disambiguation),10.37,337,1,0,0,0,true
236,John McNiven,https://en.wikipedia.org/wiki/John_McNiven,10.38,340,1,0,0,0,true
237,Ilmenau (disambiguation),https://en.wikipedia.org/wiki/Ilmenau_(disambiguation),10.38,340,1,0,0,0,true
238,Business Casual,https://en.wikipedia.org/wiki/Business_Casual,10.39,341,1,0,0,0,true
239,Harold Lambert,https://en.wikipedia.org/wiki/Harold_Lambert,10.39,341,1,0,0,0,true
240,Utah State Route 239,https://en.wikipedia.org/wiki/Utah_State_Route_239,10.39,341,1,0,0,0,true
241,School District 99,https://en.wikipedia.org/wiki/School_District_99,10.39,341,1,0,0,0,true
242,Diary of a Wimpy Kid: Dog Days,https://en.wikipedia.org/wiki/Diary_of_a_Wimpy_Kid:_Dog_Days,10.4,342,1,0,0,0,true
243,Gellman,https://en.wikipedia.org/wiki/Gellman,10.4,342,1,0,0,0,true
244,Dimension 5,https://en.wikipedia.org/wiki/Dimension_5,10.41,343,1,0,0,0,true
245,Inside the Lines,https://en.wikipedia.org/wiki/Inside_the_Lines,10.41,343,1,0,0,0,true
246,Forough,https://en.wikipedia.org/wiki/Forough,10.42,344,1,0,0,0,true
247,Pâslaru,https://en.wikipedia.org/wiki/P%C3%A2slaru,10.42,344,1,0,0,0,true
248,Mount Reynolds,https://en.wikipedia.org/wiki/Mount_Reynolds,10.42,344,1,0,0,0,true
249,James Horan,https://en.wikipedia.org/wiki/James_Horan,10.43,349,1,0,0,0,true
250,Francis Berkeley,https://en.wikipedia.org/wiki/Francis_Berkeley,10.43,345,1,0,0,0,true
251,Tenneck,https://en.wikipedia.org/wiki/Tenneck,10.44,353,1,0,0,0,true
252,Galani,https://en.wikipedia.org/wiki/Galani,10.44,351,1,0,0,0,true
253,Bilady,https://en.wikipedia.org/wiki/Bilady,10.45,356,1,0,0,0,true
254,Neocortex (disambiguation),https://en.wikipedia.org/wiki/Neocortex_(disambiguation),10.45,356,1,0,0,0,true
255,Buiú,https://en.wikipedia.org/wiki/Bui%C3%BA,10.45,355,1,0,0,0,true
256,"Bəyimli, Agsu","https://en.wikipedia.org/wiki/B%C9%99yimli,_Agsu",10.46,359,1,0,0,0,true
257,Lepola,https://en.wikipedia.org/wiki/Lepola,10.46,357,1,0,0,0,true
258,S. ehrenbergii,https://en.wikipedia.org/wiki/S._ehrenbergii,10.47,362,1,0,0,0,true
259,Senator McDaniel,https://en.wikipedia.org/wiki/Senator_McDaniel,10.47,361,1,0,0,0,true
260,Odalric,https://en.wikipedia.org/wiki/Odalric,10.48,363,1,0,0,0,true
261,Oxenden,https://en.wikipedia.org/wiki/Oxenden,10.48,363,1,0,0,0,true
262,Ian Davison,https://en.wikipedia.org/wiki/Ian_Davison,10.48,363,1,0,0,0,true
263,Battle of Amritsar,https://en.wikipedia.org/wiki/Battle_of_Amritsar,10.48,363,1,0,0,0,true
264,Javokhir,https://en.wikipedia.org/wiki/Javokhir,10.49,364,1,0,0,0,true
265,John Hippisley,https://en.wikipedia.org/wiki/John_Hippisley,10.49,365,1,0,0,0,true
266,F99,https://en.wikipedia.org/wiki/F99,10.5,366,1,0,0,0,true
267,Bilalov,https://en.wikipedia.org/wiki/Bilalov,10.5,367,1,0,0,0,true
268,ISO 3166-1:CS,https://en.wikipedia.org/wiki/ISO_3166-1:CS,10.51,368,1,0,0,0,true
269,NKR (disambiguation),https://en.wikipedia.org/wiki/NKR_(disambiguation),10.51,371,1,0,0,0,true
270,Adam Page (disambiguation),https://en.wikipedia.org/wiki/Adam_Page_(disambiguation),10.51,372,1,0,0,0,true
271,Senator Justice,https://en.wikipedia.org/wiki/Senator_Justice,10.52,373,1,0,0,0,true
272,SJAC,https://en.wikipedia.org/wiki/SJAC,10.52,373,1,0,0,0,true
273,Malkajgiri (disambiguation),https://en.wikipedia.org/wiki/Malkajgiri_(disambiguation),10.53,375,1,0,0,0,true
274,Andrew Fuller (disambiguation),https://en.wikipedia.org/wiki/Andrew_Fuller_(disambiguation),10.53,374,1,0,0,0,true
